町丁コード,区,町丁名,経度,緯度,総人口,リスク加重人口,最寄りAED距離_km,500m以内AED数
14132227005,幸区,南加瀬五丁目,139.659025,35.539572,4287,26642.71,0.27804479582651115,5
14132228001,幸区,北加瀬一丁目,139.667282,35.550218,4527,25507.64,0.22781208585668714,9
14132228002,幸区,北加瀬二丁目,139.661958,35.552534,3933,19027.54,0.1327822487007256,7
14132228003,幸区,北加瀬三丁目,139.661493,35.556028,3451,18101.93,0.2469573334508408,4
14132229000,幸区,矢上,139.658797,35.553913,1143,5455.64,0.2443671115074478,4
14132230000,幸区,新塚越,139.676887,35.549466,3671,24874.27,0.07741301081118711,11
14132231000,幸区,東小倉,139.675738,35.544951,2862,15403.18,0.2505555680523261,4
14132232000,幸区,新小倉,139.673883,35.541066,3543,10008.039999999999,0.062304776623435636,2
14132233000,幸区,新川崎,139.670749,35.549474,4583,20617.55,0.2287352738046357,9
14133301001,中原区,小杉町一丁目,139.658604,35.579522,2688,14409.86,0.16710034190434558,22
14133301002,中原区,小杉町二丁目,139.656149,35.579408,6644,30068.6,0.11079325432440783,18
14133301003,中原区,小杉町三丁目,139.657245,35.57524,4496,22770.99,0.12913351822219268,21
14133302001,中原区,新丸子東一丁目,139.663177,35.580187,1958,11173.39,0.03845959101551533,13
14133302002,中原区,新丸子東二丁目,139.662362,35.57788,2263,11841.23,0.06385738539182033,24
14133302003,中原区,新丸子東三丁目,139.6614,35.574728,7218,39719.14,0.0823540657050911,15
14133303001,中原区,小杉御殿町一丁目,139.652594,35.583401,1817,9581.94,0.19150786835645056,13
14133303002,中原区,小杉御殿町二丁目,139.653263,35.580015,4449,23205.239999999998,0.17197421192032988,14
14133304001,中原区,小杉陣屋町一丁目,139.658451,35.584962,3327,17839.75,0.15335564936525736,6
14133304002,中原区,小杉陣屋町二丁目,139.655773,35.585196,1902,11551.01,0.17183732034586321,9
14133305001,中原区,上小田中一丁目,139.631181,35.592883,6423,32453.25,0.17559348238907857,5
14133305002,中原区,上小田中二丁目,139.636366,35.588468,6861,36376.24,0.20893732050218705,9
14133305003,中原区,上小田中三丁目,139.633179,35.586827,7171,35627.35,0.17963049804769768,8
