町丁コード,区,町丁名,経度,緯度,総人口_累計,リスク加重人口_累計,最寄りAED距離_km,500m以内AED数
14132212003,幸区,戸手三丁目,139.695006,35.54539,12136,64585.1,0.1319555851819248,6
14132212004,幸区,戸手四丁目,139.696395,35.54258,48012,263212.88,0.15455671492017847,7
14132213000,幸区,河原町,139.69413,35.539899,43232,424551.3,0.16340508539036427,11
14132214001,幸区,中幸町一丁目,139.693138,35.537095,16758,100152.04000000001,0.14459799302248155,10
14132214002,幸区,中幸町二丁目,139.69527,35.53717,13025,82978.69,0.16892977399862755,9
14132214003,幸区,中幸町三丁目,139.693718,35.533774,28009,175848.64,0.11467598746161427,16
14132214004,幸区,中幸町四丁目,139.692487,35.533755,20189,114724.88,0.05665509416997264,16
14132215001,幸区,幸町一丁目,139.697903,35.53498,7947,48154.92,0.07403274275161939,10
14132215002,幸区,幸町二丁目,139.698903,35.537101,7304,48490.01,0.22324308025563203,3
14132215003,幸区,幸町三丁目,139.697597,35.537789,14867,89571.85,0.25435327907252325,3
14132215004,幸区,幸町四丁目,139.696121,35.535562,7364,47569.0,0.11616344907500806,10
14132216000,幸区,堀川町,139.698086,35.534119,16500,114226.44,0.1662524960991481,19
14132217000,幸区,柳町,139.68898,35.529211,28236,153894.04,0.2966128656862695,10
14132218000,幸区,大宮町,139.693322,35.530096,37976,245463.27,0.10864439392604851,20
14132219001,幸区,南幸町一丁目,139.689842,35.535561,17740,104043.14,0.08682196521032857,11
14132219002,幸区,南幸町二丁目,139.690544,35.533212,47063,246424.81,0.1880293392305637,15
14132219003,幸区,南幸町三丁目,139.686495,35.533165,37423,220486.12,0.1317770895338439,5
14132220001,幸区,神明町一丁目,139.68873,35.539192,27943,147471.7,0.13069071712347582,11
14132220002,幸区,神明町二丁目,139.687685,35.537431,16715,97251.65,0.14185000640520962,6
14132221000,幸区,都町,139.689467,35.536957,8353,42287.2,0.07139144265653928,8
14132222001,幸区,塚越一丁目,139.678547,35.546968,22538,113161.74,0.07635411526409468,8
14132222002,幸区,塚越二丁目,139.681384,35.54441,34074,188682.81,0.21811342509321613,13
14132222003,幸区,塚越三丁目,139.677735,35.541992,33402,183406.12,0.3780449925511555,2
