西暦,町丁コード,都道府県,市区町村,行政区,町丁名,X_CODE,Y_CODE,性別,年齢5歳階級,将来推計人口
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,30～34歳,79
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,35～39歳,56
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,40～44歳,55
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,45～49歳,66
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,50～54歳,47
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,55～59歳,45
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,60～64歳,158
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,65～69歳,94
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,70～74歳,65
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,75～79歳,57
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,80～84歳,42
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,85～89歳,35
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,90～94歳,14
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,95～99歳,4
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,100歳以上,1
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,0～4歳,23
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,5～9歳,18
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,10～14歳,17
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,15～19歳,18
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,20～24歳,35
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,25～29歳,59
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,30～34歳,58
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,35～39歳,43
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,40～44歳,38
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,45～49歳,44
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,50～54歳,33
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,55～59歳,30
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,60～64歳,105
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,65～69歳,61
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,70～74歳,48
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,女,75～79歳,52
