町丁コード,区,町丁名,緯度,経度,総人口,高齢化率,後期高齢化率,高齢者人口,最寄りAED距離_km,最寄りAED名,500m以内AED数,1km以内AED数,高齢化率_norm,距離_norm,人口_norm,リスクスコア
11019,川崎区,田町１丁目,35.5352679,139.7422215,395,25.063,16.203,99,0.21377071019609722,川﨑ふたば保育園,8,25,25.062999999999995,17.93767529889756,1.4995813351602345,15.143844520107093
11020,川崎区,田町２丁目,35.5345273,139.7453675,2350,25.617,14.979,602,0.15468317657219036,セブン‐イレブン　川崎国際病院前店,8,20,25.617,12.96908104980724,8.940397350993377,15.55485162522091
11021,川崎区,田町３丁目,35.5318437,139.7687813,363,15.702,4.683,57,1.1896725703490192,三菱ケミカル物流株式会社川崎油槽所,0,0,15.702,100.0,1.3777879272284388,45.12393637816853
11022,川崎区,大師駅前１丁目,35.534689,139.7269628,2246,24.755,14.381,556,0.15896090867617532,教育文化会館大師分館,5,20,24.755,13.328790007474907,8.544568775215042,15.321386635554475
11023,川崎区,大師駅前２丁目,35.5340661,139.7233122,3280,11.037,5.457,362,0.09333828200080892,セブン‐イレブン　川崎大師駅前２丁目店,4,16,11.037,7.810668239442515,12.48001826901119,10.179372776480363
11024,川崎区,大師河原１丁目,35.5372576,139.743287,1011,11.474,5.045,116,0.03408535903686197,セブン‐イレブン　川崎浮島通り店,7,20,11.474,2.828166614745448,3.8441044378473017,5.726697977252369
11025,川崎区,大師河原２丁目,35.5372958,139.7418432,2343,9.774,4.524,229,0.15142452310109886,セブン‐イレブン　川崎浮島通り店,8,23,9.774,12.695065095794014,8.913755043008296,10.684352551220094
11027,川崎区,大師町,35.5338309,139.7306612,956,29.498,15.167,282,0.27067687571030946,大師公園,7,22,29.498,22.722841126115274,3.634772017964528,19.028968055835467
11028,川崎区,大師本町,35.5357078,139.7302243,1539,20.533,11.436,316,0.30164107642469185,セブン‐イレブン　川崎大師駅北店,6,21,20.533,25.326580699616635,5.85369566872193,18.046640980463234
11029,川崎区,台町,35.530126,139.732938,2078,20.885,11.213,434,0.12405509150510538,サンコート株式会社,10,29,20.885,10.393605006187173,7.905153383573114,12.794488017546804
11030,川崎区,千鳥町,35.5168068,139.7557351,8,0.0,0.0,0,0.2146099170754504,京セラ株式会社　川崎工場,2,3,0.0,18.008243119532814,0.026642307985080306,7.211289940208649
11031,川崎区,出来野,35.5336785,139.7399019,1450,23.793,14.276,345,0.09237495073681981,セブン‐イレブン　川崎出来野店,6,27,23.793,7.729662959907737,5.514957752911624,11.884252509836582
11032,川崎区,殿町１丁目,35.5393374,139.7437888,1958,20.378,11.849,399,0.19856991472619367,殿町老人いこいの家,4,17,20.378,16.65946007613858,7.44842810382888,15.011712461604095
11033,川崎区,殿町２丁目,35.5401004,139.7476991,1271,18.883,10.228,240,0.2257907690350407,殿町こども文化センター,6,12,18.883,18.948426493913388,4.833675877293142,14.694373360753296
11034,川崎区,殿町３丁目,35.5318437,139.7687813,1006,14.612,7.753,147,1.1896725703490192,三菱ケミカル物流株式会社川崎油槽所,0,0,14.612,100.0,3.8250742178579586,45.53112226535739
11036,川崎区,中瀬２丁目,35.5376368,139.7278335,2143,29.071,18.199,623,0.1684576629576604,セブン‐イレブン　川崎大師駅北店,2,13,29.071,14.127359787157154,8.152546243434575,16.818007787893233
11037,川崎区,中瀬３丁目,35.5391729,139.7320721,5233,13.338,6.956,698,0.4061466279806957,大東建託 川崎東支店,3,15,13.338,34.11431731025569,19.913222196848597,23.621093583156856
11038,川崎区,東扇島,35.49719,139.753955,6,16.667,0.0,1,0.5031077341511556,ロジスティクス・ネットワーク川崎ファズ物流センター,0,3,16.667,42.26765127018023,0.019030219989343077,21.912869574068896
11039,川崎区,東門前１丁目,35.5355198,139.7333703,1151,18.94,11.034,218,0.20336017005114773,東門前小学校,8,22,18.94,17.062266448303877,4.376950597548908,13.819991758586223
11040,川崎区,東門前２丁目,35.5333941,139.7346956,539,25.974,14.842,140,0.07479011409163748,大師小学校,12,26,25.974000000000004,6.250976799429804,2.047651670853315,10.906886221027918
11041,川崎区,東門前３丁目,35.5355198,139.7365255,2046,18.133,10.362,371,0.13343799115638408,東門前小学校,12,25,18.133,11.182600897331838,7.783359975641319,12.24794835162513
11042,川崎区,日ノ出１丁目,35.5317845,139.7417848,1099,20.2,12.102,222,0.1785941190429913,セブン‐イレブン　川崎出来野店,7,26,20.2,14.979721263814803,4.17903630965974,13.305599398423842
11043,川崎区,日ノ出２丁目,35.5317597,139.7442016,973,18.088,10.483,176,0.14601388547464986,セブン‐イレブン　川崎国際病院前店,5,26,18.088,12.240091578608501,3.699474765928294,11.432279061221891
11044,川崎区,藤崎１丁目,35.5293318,139.7210407,2706,29.86,18.367,808,0.06383119652324018,セブン‐イレブン　川崎藤崎店,8,35,29.86,5.329455600843795,10.295349014234604,14.1783869446079
11045,川崎区,藤崎２丁目,35.5266851,139.7207566,1959,26.238,14.906,514,0.10618384551030118,川中島中学校,10,39,26.238,8.890835054084517,7.452234147826749,13.663404265981832
11046,川崎区,藤崎３丁目,35.5278092,139.7241752,2380,29.412,16.387,700,0.2275027142130805,川中島中学校,7,36,29.412,19.092381748849345,9.054578670929436,19.176926300818568
