町丁コード,区,町丁名,緯度,経度,総人口,人口,リスク加重人口,高齢者人口,高齢者リスク加重人口,リスク加重高齢化率,最寄りAED距離_km,500m以内AED数,リスク加重人口_norm,距離_norm,リスク加重スコア
10047,川崎区,渡田山王町,35.5177264,139.6969965,2232,2232,7608.026,549,5489.572,72.15501103702853,0.3052175470617906,7,12.816419218923114,25.655592527635367,17.952088542408013
10048,川崎区,渡田新町１丁目,35.5221138,139.7002162,861,861,3261.259,250,2528.006,77.51625982480999,0.2815875393020199,9,5.493890599938274,23.66933106807778,12.764066787194077
10049,川崎区,渡田新町２丁目,35.5210254,139.6994309,1033,1033,3161.831,226,2223.34,70.31811630665902,0.231521137534644,10,5.326394993311918,19.460912464908027,10.980201981950362
10050,川崎区,渡田新町３丁目,35.5196535,139.6989278,1866,1866,6593.55,470,4866.0199999999995,73.79969818989768,0.23416405832347006,7,11.107441133998558,19.68306777509146,14.53769179043572
10051,川崎区,渡田東町,35.5181513,139.7078908,1415,1415,4959.094,390,3780.691,76.2375345173937,0.10763357595893001,14,8.354049743001182,9.047327696842931,8.631360924537882
10052,川崎区,渡田向町,35.5216799,139.7032513,2297,2297,7630.339,572,5617.143,73.61590356601457,0.1356937522036865,8,12.854007518704403,11.405974684603972,12.27479438506423
11001,川崎区,池上新町１丁目,35.523233,139.7280385,1029,1029,3641.064,262,2587.336,71.0598879887857,0.08458397878001213,7,6.133707038715308,7.109853659582768,6.5241656870622915
11002,川崎区,池上新町２丁目,35.5245006,139.7303306,3260,3260,10648.203,763,7492.037,70.35963720826885,0.17611057815548017,8,17.93787686532548,14.803281385550807,16.684038673415614
11003,川崎区,池上新町３丁目,35.5218401,139.7338242,140,140,536.33,41,328.895,61.32325247515521,0.21439966237043154,6,0.9034971909513763,18.021737048836236,7.7507931341053204
11004,川崎区,伊勢町,35.5351837,139.725783,2967,2967,8254.967,570,5498.47,66.60801914774463,0.11586505877614589,4,13.906250808077694,9.739239322140048,12.239446213702635
11005,川崎区,浮島町,35.5318437,139.7687813,1,1,1.556,0,0.0,0.0,1.1896725703490192,0,0.0026212250463713413,100.0,40.00157273502782
11006,川崎区,江川１丁目,35.5372576,139.743287,937,937,2313.855,146,1399.34,60.47656400249799,0.03408535903686197,7,3.8979014650845496,2.8651042216483313,3.484782567710062
11007,川崎区,江川２丁目,35.5318437,139.7687813,1586,1586,3383.7690000000002,208,1967.568,58.14723168159528,1.1896725703490192,0,5.700269957541713,100.0,43.42016197452503
11008,川崎区,川中島１丁目,35.5322289,139.7269072,2479,2479,8574.048999999999,647,6398.6939999999995,74.62861478864886,0.15621412204365967,5,14.443773770960892,13.130850112634814,13.91860430763046
11009,川崎区,川中島２丁目,35.530245,139.7275362,1101,1101,3629.456,253,2496.2349999999997,68.7771115010073,0.16896697305026084,4,6.114152295567314,14.20281321613478,9.3496166637943
11010,川崎区,観音１丁目,35.5274896,139.7264342,2852,2852,10086.188,738,7532.468,74.681019231448,0.24121050151405146,6,16.991110930597728,20.275368830541883,18.30481409057539
11011,川崎区,観音２丁目,35.5275147,139.7295768,3248,3248,9495.768,667,6577.574,69.26847833687596,0.1814121562805959,6,15.996494162038235,15.248914768823681,15.697462404752414
11012,川崎区,小島町,35.5318437,139.7687813,2,2,2.556,0,0.0,0.0,1.1896725703490192,0,0.004305816978486599,100.0,40.00258349018709
11013,川崎区,塩浜１丁目,35.5285229,139.7410264,1229,1229,3929.759,264,2579.12,65.63048777291431,0.20764960100390512,4,6.620040306557323,17.45434888382659,10.95376373746503
11014,川崎区,塩浜２丁目,35.523486,139.737703,656,656,1935.967,124,1237.337,63.91312455222635,0.09179825330011311,3,3.2613143890413796,7.716262069754359,5.043293461326572
11015,川崎区,塩浜３丁目,35.5216173,139.7411998,439,439,1494.099,105,1020.452,68.29882089473321,0.19576746905455203,6,2.5169471211814742,16.455575587249097,8.092398507608523
11016,川崎区,塩浜４丁目,35.5291171,139.7465136,57,57,169.11599999999999,12,120.668,71.35220795193833,0.28486911274228144,4,0.28489144919160386,23.94516943924396,9.749002645212546
11017,川崎区,昭和１丁目,35.533096,139.7371203,1186,1186,4108.549,305,3013.562,73.34857147864125,0.1324234297292905,12,6.92122849810021,11.13108203296987,8.605169912048073
11018,川崎区,昭和２丁目,35.5309376,139.7376674,2553,2553,9039.374,656,6643.583,73.49605182836775,0.2029237615714276,12,15.227656511772425,17.057110219150047,15.959437994723475
11019,川崎区,田町１丁目,35.5352679,139.7422215,395,395,1330.757,99,1031.113,77.48319189754403,0.21377071019609722,8,2.241782505805904,17.96886937835193,8.532617254824315
11020,川崎区,田町２丁目,35.5345273,139.7453675,2350,2350,8645.346,602,6044.244,69.91326894261954,0.15468317657219036,8,14.563880121944914,13.00216382452277,13.939193602976054
11021,川崎区,田町３丁目,35.5318437,139.7687813,363,363,770.883,57,445.118,57.74131742430433,1.1896725703490192,0,1.2986232824048063,100.0,40.77917396944289
11022,川崎区,大師駅前１丁目,35.534689,139.7269628,2246,2246,7569.258,556,5505.575,72.7359934091294,0.15896090867617532,5,12.75111095889887,13.361736047216782,12.995360994226036
11023,川崎区,大師駅前２丁目,35.5340661,139.7233122,3280,3280,6283.073,362,3360.247,53.48094793741852,0.09333828200080892,4,10.58441408469121,7.845711864519653,9.488933196622586
11024,川崎区,大師河原１丁目,35.5372576,139.743287,1011,1011,2338.761,116,1044.453,44.65838963451161,0.03408535903686197,7,3.939857911745812,2.8651042216483313,3.50995643570682
11025,川崎区,大師河原２丁目,35.5372958,139.7418432,2343,2343,4366.002,229,2114.018,48.41999614292435,0.15142452310109886,8,7.35493174479908,12.728252031285786,9.504259859393763
11027,川崎区,大師町,35.5338309,139.7306612,956,956,3432.687,282,2692.239,78.429492697703,0.27067687571030946,7,5.782676825676927,22.75221623634643,12.57049258994473
11028,川崎区,大師本町,35.5357078,139.7302243,1539,1539,4788.328,316,3071.12,64.13762799875029,0.30164107642469185,6,8.066378717121589,25.354966058955043,14.98181365385497
11029,川崎区,台町,35.530126,139.732938,2078,2078,6120.582,434,4214.014,68.84989041891768,0.12405509150510538,10,10.310683057049868,10.42766678807353,10.357476549459333
11030,川崎区,千鳥町,35.5168068,139.7557351,8,8,2.7800000000000002,0,0.0,0.0,0.2146099170754504,2,0.004683165571280417,18.03941037427545,7.2185740490529495
11031,川崎区,出来野,35.5336785,139.7399019,1450,1450,4999.084,345,3535.12,70.71535505304571,0.09237495073681981,6,8.421416574366472,7.764737377253255,8.158744895521185
11032,川崎区,殿町１丁目,35.5393374,139.7437888,1958,1958,6007.791,399,3959.353,65.90364078910201,0.19856991472619367,4,10.120676248434657,16.691140039308326,12.748861764784126
