町丁コード,区,町丁名,緯度,経度
61020,多摩区,西生田５丁目,35.607389,139.5257047
61021,多摩区,東三田１丁目,35.612653,139.549014
61022,多摩区,東三田３丁目,35.608627,139.550502
61023,多摩区,三田１丁目,35.6195325,139.5620976
61024,多摩区,三田２丁目,35.6195325,139.5620976
61025,多摩区,三田３丁目,35.6195325,139.5620976
61026,多摩区,三田４丁目,35.6195325,139.5620976
61027,多摩区,三田５丁目,35.6195325,139.5620976
61028,多摩区,南生田１丁目,35.6090441,139.5299312
61029,多摩区,南生田２丁目,35.6039069,139.5291051
61030,多摩区,南生田３丁目,35.605112,139.53387
61031,多摩区,南生田４丁目,35.600659,139.53421
61032,多摩区,南生田５丁目,35.602854,139.538988
61033,多摩区,南生田６丁目,35.604492,139.5384805
61034,多摩区,南生田７丁目,35.6085693,139.5400276
61035,多摩区,南生田８丁目,35.607585,139.537406
70001,麻生区,王禅寺,35.5861588,139.5224604
70002,麻生区,岡上,35.5783849,139.4811908
70003,麻生区,片平,35.5960902,139.4825242
70004,麻生区,片平１丁目,35.5979699,139.498884
70005,麻生区,片平２丁目,35.5934271,139.4961576
70006,麻生区,片平３丁目,35.5903323,139.4930851
70007,麻生区,片平４丁目,35.5931685,139.4892068
70008,麻生区,片平５丁目,35.5970932,139.4917956
70009,麻生区,金程１丁目,35.6093527,139.5019417
70010,麻生区,金程２丁目,35.6102391,139.4999192
70011,麻生区,金程３丁目,35.6130757,139.4982653
70012,麻生区,金程４丁目,35.6139426,139.5024565
70013,麻生区,上麻生,35.5920986,139.5001888
70014,麻生区,上麻生１丁目,35.6022953,139.507926
70015,麻生区,上麻生２丁目,35.6003265,139.5117446
70016,麻生区,上麻生３丁目,35.599772,139.5048585
70017,麻生区,上麻生４丁目,35.5951479,139.5046357
70018,麻生区,栗木,35.602112,139.475626
70019,麻生区,栗木台１丁目,35.6068922,139.4757782
70020,麻生区,栗木台２丁目,35.6098549,139.4735397
70021,麻生区,栗木台３丁目,35.6115152,139.4744543
70022,麻生区,栗木台４丁目,35.6090779,139.4780837
70023,麻生区,栗木台５丁目,35.6118334,139.4784426
70024,麻生区,栗平１丁目,35.6049386,139.481284
70025,麻生区,栗平２丁目,35.6086272,139.4817654
70026,麻生区,黒川,35.6132327,139.4707421
70027,麻生区,五力田,35.6037126,139.5058592
70028,麻生区,五力田１丁目,35.6037126,139.5058592
70029,麻生区,五力田２丁目,35.6037126,139.5058592
70030,麻生区,五力田３丁目,35.6037126,139.5058592
70031,麻生区,下麻生,35.572171,139.51203
70032,麻生区,白鳥１丁目,35.6011882,139.4877104
70033,麻生区,白鳥２丁目,35.6028117,139.4837109
70034,麻生区,白鳥３丁目,35.6055263,139.4838321
70035,麻生区,高石１丁目,35.6103933,139.5156569
70036,麻生区,高石２丁目,35.6130151,139.5153171
70037,麻生区,高石３丁目,35.613656,139.5204087
70038,麻生区,高石４丁目,35.6102603,139.52182
70039,麻生区,高石５丁目,35.6052453,139.522655
70040,麻生区,高石６丁目,35.6024219,139.5228577
70041,麻生区,多摩美１丁目,35.6185385,139.5238918
70042,麻生区,多摩美２丁目,35.620218,139.5217027
70043,麻生区,千代ケ丘１丁目,35.6102721,139.5082612
70044,麻生区,千代ケ丘２丁目,35.613346,139.511619
70045,麻生区,千代ケ丘３丁目,35.6124938,139.5087558
70046,麻生区,千代ケ丘４丁目,35.6119812,139.5053815
70047,麻生区,千代ケ丘５丁目,35.61466,139.5072969
70048,麻生区,千代ケ丘６丁目,35.6159623,139.5105323
70049,麻生区,千代ケ丘７丁目,35.6163463,139.5052134
70050,麻生区,千代ケ丘８丁目,35.6187449,139.5062569
70051,麻生区,千代ケ丘９丁目,35.6195019,139.5093083
70052,麻生区,虹ケ丘１丁目,35.5807471,139.5219982
70053,麻生区,虹ケ丘２丁目,35.5805408,139.5250801
70054,麻生区,虹ケ丘３丁目,35.5768584,139.5235577
70055,麻生区,白山１丁目,35.589738,139.5127828
70056,麻生区,白山２丁目,35.5920374,139.512035
70057,麻生区,白山３丁目,35.5936912,139.5089149
70058,麻生区,白山４丁目,35.5909064,139.5098925
70059,麻生区,白山５丁目,35.5875884,139.5075588
70060,麻生区,早野,35.5731476,139.5192036
70061,麻生区,東百合丘１丁目,35.6021346,139.5280155
70062,麻生区,東百合丘２丁目,35.5987769,139.5274669
70063,麻生区,東百合丘３丁目,35.5952873,139.5263189
70064,麻生区,東百合丘４丁目,35.5980653,139.5229701
70065,麻生区,古沢,35.6035078,139.4971645
70066,麻生区,細山,35.6221357,139.5062935
70067,麻生区,細山１丁目,35.6186885,139.5203598
70068,麻生区,細山２丁目,35.6160953,139.51648
70069,麻生区,細山３丁目,35.616575,139.5142031
70070,麻生区,細山４丁目,35.619306,139.5136999
70071,麻生区,細山５丁目,35.6192152,139.5171054
70072,麻生区,細山６丁目,35.6225587,139.5168292
70073,麻生区,細山７丁目,35.6231931,139.5140709
70074,麻生区,細山８丁目,35.6202051,139.510687
70075,麻生区,万福寺,35.604181,139.502265
70076,麻生区,万福寺１丁目,35.6038705,139.5059483
70077,麻生区,万福寺２丁目,35.6057251,139.511843
70078,麻生区,南黒川,35.6142343,139.4713349
70079,麻生区,向原１丁目,35.6160796,139.5004654
70080,麻生区,向原２丁目,35.6157718,139.4965138
70081,麻生区,向原３丁目,35.6195329,139.500694
70082,麻生区,百合丘１丁目,35.6073221,139.5177917
70083,麻生区,百合丘２丁目,35.6049866,139.514683
70084,麻生区,百合丘３丁目,35.6019667,139.5190062
70085,麻生区,上麻生５丁目,35.5905537,139.5000519
70086,麻生区,栗木１丁目,35.6055651,139.4735948
70087,麻生区,栗木２丁目,35.6074256,139.469097
70088,麻生区,栗木３丁目,35.6047304,139.4707805
70089,麻生区,上麻生６丁目,35.5859716,139.4980709
70090,麻生区,上麻生７丁目,35.5811718,139.5010249
70091,麻生区,王禅寺西１丁目,35.5995287,139.5143508
70092,麻生区,王禅寺西２丁目,35.5985965,139.5174685
70093,麻生区,王禅寺西３丁目,35.596039,139.5151508
70094,麻生区,王禅寺西４丁目,35.5933943,139.5117918
70095,麻生区,王禅寺西５丁目,35.5925544,139.5080531
70096,麻生区,王禅寺西６丁目,35.5906005,139.5043198
70097,麻生区,王禅寺西７丁目,35.5870186,139.5045018
70098,麻生区,王禅寺東１丁目,35.5939619,139.5215056
70099,麻生区,王禅寺東２丁目,35.5920871,139.5183699
70100,麻生区,王禅寺東３丁目,35.5867333,139.5167205
70101,麻生区,王禅寺東４丁目,35.5856289,139.5105384
70102,麻生区,王禅寺東５丁目,35.5823544,139.514411
70103,麻生区,王禅寺東６丁目,35.5781654,139.5127125
70104,麻生区,王禅寺西８丁目,35.5845943,139.5033663
70105,麻生区,白鳥４丁目,35.6059663,139.4869731
70106,麻生区,下麻生１丁目,35.5820601,139.5061029
70107,麻生区,下麻生２丁目,35.5815295,139.5089698
70108,麻生区,下麻生３丁目,35.574813,139.510879
70109,麻生区,はるひ野１丁目,35.6037126,139.5058592
70110,麻生区,はるひ野２丁目,35.6037126,139.5058592
70111,麻生区,はるひ野３丁目,35.6037126,139.5058592
70112,麻生区,はるひ野４丁目,35.6037126,139.5058592
70113,麻生区,はるひ野５丁目,35.6037126,139.5058592
70114,麻生区,片平６丁目,35.5960077,139.4901964
70115,麻生区,片平７丁目,35.598777,139.4863511
70116,麻生区,片平８丁目,35.6017114,139.4824429
70117,麻生区,万福寺３丁目,35.6067949,139.5093187
70118,麻生区,万福寺４丁目,35.6084352,139.5093822
70119,麻生区,万福寺５丁目,35.6079317,139.5042421
70120,麻生区,万福寺６丁目,35.6061167,139.5055895
70121,麻生区,岡上１丁目,35.5834325,139.4866423
70122,麻生区,岡上２丁目,35.581035,139.4874346
70123,麻生区,岡上３丁目,35.5805952,139.4832957
70124,麻生区,岡上４丁目,35.5806282,139.478718
70125,麻生区,岡上５丁目,35.5777847,139.4754331
70126,麻生区,岡上６丁目,35.5730507,139.4741376
