id,source,name,address,latitude,longitude
kawasaki_568,川崎市オープンデータ,西中原中学校,中原区下小田中2-17-1,35.57900406,139.6435557
kawasaki_569,川崎市オープンデータ,富士見中学校,川崎区富士見2-1-2,35.52801828,139.7084227
kawasaki_570,川崎市オープンデータ,白鳥中学校,麻生区白鳥1-5-1,35.60125325,139.4860769
kawasaki_571,川崎市オープンデータ,川崎高校附属中学校,川崎区中島3-3-1,35.52678778,139.7148373
kawasaki_572,川崎市オープンデータ,宮前平中学校,宮前区宮前平2-7,35.58946403,139.5833176
kawasaki_573,川崎市オープンデータ,平中学校,宮前区平3-15-1,35.60344578,139.5691766
kawasaki_574,川崎市オープンデータ,はるひ野中学校,麻生区はるひ野4-8-1,35.61841,139.4610845
kawasaki_575,川崎市オープンデータ,西中原中学校,中原区下小田中2-17-1,35.578962,139.643452
kawasaki_576,川崎市オープンデータ,橘中学校,高津区千年１３００,35.58389333,139.6200614
kawasaki_577,川崎市オープンデータ,幸高等学校（商業高校）,幸区戸手本町1-150,35.54209,139.68637
kawasaki_563,川崎市オープンデータ,犬蔵中学校,宮前区犬蔵1-10-1,35.58909439,139.5635175
kawasaki_562,川崎市オープンデータ,向丘中学校,宮前区神木本町5-11-1,35.59843142,139.5812514
kawasaki_560,川崎市オープンデータ,中原中学校,中原区小杉陣屋町1-24-1,35.58593783,139.6596494
kawasaki_545,川崎市オープンデータ,日吉中学校,幸区北加瀬2-3-1,35.55380706,139.6614951
kawasaki_547,川崎市オープンデータ,高津中学校,高津区久本3-11-2,35.59567217,139.6184553
kawasaki_548,川崎市オープンデータ,東高津中学校,高津区末長4-1-1,35.59175031,139.6212696
kawasaki_549,川崎市オープンデータ,西高津中学校,高津区久地1-10-1,35.60724447,139.6100481
kawasaki_550,川崎市オープンデータ,菅中学校,多摩区菅城下28-1,35.63672122,139.5227278
kawasaki_551,川崎市オープンデータ,南生田中学校,多摩区南生田3-4-1,35.60551181,139.53343
kawasaki_552,川崎市オープンデータ,南菅中学校,多摩区菅馬場4-1-1,35.62261756,139.5302371
kawasaki_553,川崎市オープンデータ,枡形中学校,多摩区枡形1-22-1,35.61866697,139.5481758
kawasaki_554,川崎市オープンデータ,生田中学校,多摩区三田2-5420-2,35.61234864,139.545906
kawasaki_556,川崎市オープンデータ,玉川中学校,中原区中丸子562,35.56633622,139.6680161
kawasaki_557,川崎市オープンデータ,住吉中学校,中原区木月住吉町27-1,35.56553925,139.6614983
kawasaki_558,川崎市オープンデータ,井田中学校,中原区井田杉山町11-1,35.56996469,139.6439798
kawasaki_559,川崎市オープンデータ,今井中学校,中原区今井仲町7-1,35.5756,139.6505894
kawasaki_561,川崎市オープンデータ,宮内中学校,中原区宮内4-13-1,35.58513311,139.6464692
kawasaki_580,川崎市オープンデータ,川崎総合科学高校,幸区小向仲野町5-1,35.55279481,139.6961576
kawasaki_605,川崎市オープンデータ,渡田中学校,川崎区渡田向町11-1,35.52049942,139.7028713
kawasaki_608,川崎市オープンデータ,生田中学校特別創作活動センター,多摩区三田2-3303-1,35.6134,139.54645
kawasaki_609,川崎市オープンデータ,川崎市立田島支援学校,川崎区田島町20-5,35.51533075,139.7120059
kawasaki_612,川崎市オープンデータ,中原図書館,中原区小杉町3-1301,35.57570528,139.6592478
kawasaki_613,川崎市オープンデータ,高津図書館,高津区溝口4-16-3,35.60521483,139.6151135
kawasaki_614,川崎市オープンデータ,総合教育センター　総務室,高津区溝口6-9-3,35.60892875,139.6149063
kawasaki_615,川崎市オープンデータ,教育会館,中原区下沼部１７０９−４,35.57511,139.66705
kawasaki_616,川崎市オープンデータ,日本民家園,多摩区枡形7-1-1,35.60985187,139.5618518
kawasaki_617,川崎市オープンデータ,青少年科学館,多摩区枡形7-1-2,35.60840444,139.5615146
kawasaki_601,川崎市オープンデータ,久末小学校,高津区久末647,35.56797006,139.6191288
kawasaki_600,川崎市オープンデータ,渡田小学校,川崎区田島町14-1,35.51622969,139.7097352
kawasaki_599,川崎市オープンデータ,藤崎小学校,川崎区藤崎3-2-1,35.52554817,139.7252451
kawasaki_583,川崎市オープンデータ,橘高校,中原区中丸子562,35.56748411,139.6680936
kawasaki_586,川崎市オープンデータ,高津高校,高津区久本3-11-1,35.59604783,139.61667
kawasaki_589,川崎市オープンデータ,聾学校,中原区上小田中3-10-5,35.58522442,139.6374698
kawasaki_544,川崎市オープンデータ,塚越中学校,幸区塚越1-60,35.54764231,139.6787064
kawasaki_590,川崎市オープンデータ,中央支援学校,高津区久本3-7-1,35.59788961,139.618376
kawasaki_592,川崎市オープンデータ,田島支援学校桜校,川崎区池上新町1-1-3,35.52365706,139.7258524
kawasaki_595,川崎市オープンデータ,柿生中学校,麻生区上麻生6-40-1,35.58648164,139.4999864
kawasaki_596,川崎市オープンデータ,百合丘小学校,麻生区百合丘2-1-2,35.60773964,139.5145027
kawasaki_598,川崎市オープンデータ,南野川小学校,宮前区南野川2-12-1,35.56688922,139.6039395
kawasaki_543,川崎市オープンデータ,御幸中学校,幸区戸手4-2-1,35.54439594,139.6942094
kawasaki_542,川崎市オープンデータ,南河原中学校,幸区中幸町4-31,35.53325733,139.6926212
kawasaki_541,川崎市オープンデータ,南加瀬中学校,幸区南加瀬3-10-1,35.54426272,139.6628065
kawasaki_487,川崎市オープンデータ,登戸小学校,多摩区登戸1329,35.62259533,139.558896
kawasaki_488,川崎市オープンデータ,西菅小学校,多摩区菅北浦4-2-1,35.62766683,139.5305834
kawasaki_489,川崎市オープンデータ,菅小学校,多摩区菅2-6-1,35.63272833,139.5327171
kawasaki_490,川崎市オープンデータ,平間小学校,中原区上平間1480,35.55676164,139.676565
kawasaki_491,川崎市オープンデータ,中原小学校,中原区小杉御殿町1-950,35.58341886,139.6504764
kawasaki_492,川崎市オープンデータ,宮内小学校,中原区宮内2-4-1,35.58886994,139.6414189
kawasaki_493,川崎市オープンデータ,大戸小学校,中原区下小田中1-4-1,35.58062872,139.6385107
kawasaki_494,川崎市オープンデータ,新城小学校,中原区下新城1-15-1,35.58160219,139.6324805
kawasaki_495,川崎市オープンデータ,大谷戸小学校,中原区上小田中1-27-1,35.59131122,139.6313684
kawasaki_497,川崎市オープンデータ,宮崎小学校,宮前区馬絹1-30-9,35.57971403,139.5878656
kawasaki_498,川崎市オープンデータ,鷺沼小学校,宮前区鷺沼2-1,35.57681842,139.5686594
kawasaki_499,川崎市オープンデータ,有馬小学校,宮前区東有馬5-12-1,35.56807419,139.5916068
kawasaki_500,川崎市オープンデータ,西有馬小学校,宮前区有馬7-6-1,35.57125956,139.5764544
kawasaki_501,川崎市オープンデータ,富士見台小学校,宮前区宮前平2-18-3,35.58821039,139.5793346
kawasaki_486,川崎市オープンデータ,長尾小学校,多摩区長尾7-28-1,35.605436,139.5815963
kawasaki_485,川崎市オープンデータ,南生田小学校,多摩区南生田3-1-1,35.60649056,139.5339528
kawasaki_484,川崎市オープンデータ,上作延小学校,高津区上作延5-8-1,35.59812994,139.5975181
