台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
61,川崎市総合福祉センター（エポックなかはら）,1階事務室,211-0053,中原区上小田中6-22-5,365日24時間使用可ではない,8時30分,21時00分,月曜日から日曜日（点検日・年末年始を除く）,,外部の使用も認める,35.58108728,139.6423532,,,
62,福祉パルかわさき,事務室,210-0011,川崎区富士見1-6-3　読売川崎富士見ビルB1棟6階,365日24時間使用可ではない,8時30分,"17時00分
火・木曜は21時00分",月曜日から土曜日（祝日・年末年始を除く）,,外部の使用も認める,35.53057717,139.7114864,,,
63,福祉パルさいわい,１階事務室,212-0023,幸区戸手本町1-11-5,365日24時間使用可ではない,8時30分,"17時00分
火・金曜は21時00分",月曜日から土曜日（祝日・年末年始を除く）,,外部の使用も認める,35.54385697,139.6868368,,,
64,福祉パルなかはら,事務室,211-0067,中原区今井上町1-34　和田ビル1階,365日24時間使用可ではない,8時30分,"17時00分
火・木曜は21時00分",月曜日から土曜日（祝日・年末年始を除く）,,外部の使用も認める,35.57687017,139.6534945,,,
65,福祉パルたかつ,事務室,213-0001,高津区溝口1-6-10 てくのかわさき3階,365日24時間使用可ではない,8時30分,"17時00分
火・木曜は21時00分",月曜日から土曜日（祝日・年末年始を除く）,,外部の使用も認める,35.59884,139.61384,,,
66,福祉パルみやまえ,事務室,216-0033,宮前区宮崎2-6-10　宮崎台ガーデンオフィス4階,365日24時間使用可ではない,8時30分,"17時00分
火・金曜は21時00分",月曜日から土曜日（祝日・年末年始を除く）,,外部の使用も認める,35.58792314,139.5892217,,,
67,福祉パルたま,事務室,214-0014,多摩区登戸1891　第3井出ビル3階,365日24時間使用可ではない,8時30分,"17時00分
火・木曜は21時00分",月曜日から土曜日（祝日・年末年始を除く）,,外部の使用も認める,35.62001831,139.5608049,,,
68,福祉パルあさお,事務室,215-0004,麻生区万福寺1-2-2　新百合トウェンティワンビル1階,365日24時間使用可ではない,8時30分,"17時00分
火・木曜は21時00分",月曜日から土曜日（祝日・年末年始を除く）,,外部の使用も認める,35.60318158,139.5061149,,,
69,養護老人ホーム恵楽園,3階当直室,213-0033,高津区下作延2-26-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.59717319,139.6056274,,,
70,多摩川の里身体障害者福祉会館,1階事務室前,214-0012,多摩区中野島6-13-5,365日24時間使用可ではない,8時30分,21時,平日・土日,日曜日、日月以外の祝日：8時30分〜17時、日、月曜日が祝日に当たる場合は不可、年末年始12/29〜1/3不可,外部の使用も認める,35.63222367,139.5518006,,,
71,社会復帰訓練所,玄関横事務室入口,213-0013,高津区末長1-3-8,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.59600556,139.6084943,,,
72,柿生学園,事務室,215-0025,麻生区五力田2-20-10,365日24時間使用可,-,-,-,,外部の使用も認める,35.60060631,139.4893463,,,
73,南部リハビリテーションセンター,3階事務所,210-0024,川崎区日進町5-1,365日24時間使用可ではない,8時30分,17時30分,平日,17時30分,外部の使用も認める,35.52611653,139.6927587,,,
74,北部リハビリテーションセンター,2階北部地域生活支援センター事務室,215-0011,麻生区百合丘2-8-2,365日24時間使用可ではない,8時30分,20時00分,平日、土曜,"月〜土（祝日、12/29-1/3を除く）
使用可",外部の使用も認める,35.60285,139.51577,,,
75,井田重度障害者等生活施設　桜の風,警備員室,211-0035,中原区井田3丁目16番1号,365日24時間使用可,-,-,-,,外部の使用も認める,35.56385339,139.6361,,,
76,南部身体障害者福祉会館,1階事務室,210-0834,川崎区大島1-8-6,365日24時間使用可ではない,8時30分,21時00分,下記の通り,祝日・年末年始・日曜17時以降使用不可,外部の使用も認める,35.52618117,139.7109152,,,
77,北部身体障害者福祉会館,1階事務室,213-0001,高津区溝口1-18-16,365日24時間使用可ではない,8時30分,21時00分,平日・土日,,外部の使用も認める,35.6010985,139.6140372,,,
78,中部身体障害者福祉会館,1階事務室,211-0068,中原区小杉御殿町2-114-1,365日24時間使用可ではない,8時30分,21時,平日・土日,,外部の使用も認める,35.58153489,139.6529111,,,
