台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
480,久本小学校,職員玄関横,213-0011,高津区久本3-11-3,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.59515439,139.6178843,,,
481,下作延小学校,昇降口外側,213-0033,高津区下作延5-19-1,365日24時間使用可ではない,7時30分,21時00分,"月火水木金
土日",平日は、施設開放団体が校庭・体育館をの使用を終了するまで使用可。なお、土日祝日は施設開放団体が施設を利用する9：00〜17：00の間は利用可。いずれも、職員、施設開放団体不在時は、使用不可（校門が施錠されているため）。,外部の使用も認める,35.60315869,139.6006518,,,
482,高津小学校,東昇降口入口左,213-0001,高津区溝口4-19-1,365日24時間使用可ではない,8時20分,21時00分,月火水木金,"平日施設開放を実施していない場合の利用時間は１６：５０まで
土日祝日は９：００〜２１：００",外部の使用も認める,35.60511861,139.6137861,,,
483,久末小学校,アリーナ棟開放玄関,213-0026,高津区久末647,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",施設開放を実施していない場合は１７時まで,外部の使用も認める,35.56797006,139.6191288,,,
484,上作延小学校,職員玄関脇,213-0034,高津区上作延5-8-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,金・土・日のみ〜21時00分,外部の使用も認める,35.59812994,139.5975181,,,
485,南生田小学校,1階職員玄関,214-0036,多摩区南生田3-1-1,365日24時間使用可,-,-,-,収納ボックスから取り出す,外部の使用も認める,35.60649056,139.5339528,,,
486,長尾小学校,図書室側　　ピロティ,214-0023,多摩区長尾7-28-1,365日24時間使用可ではない,8時00分,21時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.605436,139.5815963,,,
487,登戸小学校,教室,214-0014,多摩区登戸1329,365日24時間使用可,-,-,-, ,外部の使用も認める,35.62259533,139.558896,,,
488,西菅小学校,職員玄関,214-0008,多摩区菅北浦4-2-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,門の鍵があれば利用可能,外部の使用も認める,35.62766683,139.5305834,,,
489,菅小学校,校舎外壁,214-0001,多摩区菅2-6-1,365日24時間使用可ではない,8時25分,16時55分,月火水木金,"収納ボックスに鍵なし。
門の鍵は必要。",外部の使用も認める,35.63272833,139.5327171,,,
490,平間小学校,体育館入口,211-0013,中原区上平間1480,365日24時間使用可ではない,8時30分,21時00分,月火水木金　土,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.55676164,139.676565,,,
491,中原小学校,体育館施設開放入口,211-0068,中原区小杉御殿町1-950,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",門の鍵があれば利用可能,外部の使用も認める,35.58341886,139.6504764,,,
492,宮内小学校,1階職員室外壁校庭側,211-0051,中原区宮内2-4-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,敷地内に入る鍵等があれば使用可能,外部の使用も認める,35.58886994,139.6414189,,,
493,大戸小学校,1階職員玄関,211-0041,中原区下小田中1-4-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,時間外であっても、施設開放団体の使用は可能とする。,外部の使用も認める,35.58062872,139.6385107,,,
494,新城小学校,体育館入口,211-0042,中原区下新城1-15-1,365日24時間使用可ではない,8時20分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は16時50分まで,外部の使用も認める,35.58160219,139.6324805,,,
495,大谷戸小学校,低学年昇降口横,211-0053,中原区上小田中1-27-1,365日24時間使用可ではない,8時15分,21時00分,"月火水木金
土日",平日は施設開放している場合21時、していない場合は16：45まで。土日施設開放している場合は9時〜21時まで、していない場合は利用不可,外部の使用も認める,35.59131122,139.6313684,,,
496,南野川小学校,職員玄関,216-0042,宮前区南野川2-12-1,365日24時間使用可ではない,8時20分,16時50分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.56688922,139.6039395,,,
497,宮崎小学校,児童昇降口（西）,216-0035,宮前区馬絹1-30-9,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.57971403,139.5878656,,,
498,鷺沼小学校,体育館,216-0004,宮前区鷺沼2-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.57681842,139.5686594,,,
499,有馬小学校,職員玄関,216-0002,宮前区東有馬5-12-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,年始年末は、門扉施錠中・施設開放利用団体は、門扉の鍵所有により使用時にＡＥＤ使用可能,外部の使用も認める,35.56807419,139.5916068,,,
500,西有馬小学校,体育館通路,216-0003,宮前区有馬7-6-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,土曜は8〜21時・日曜は9〜21時。年末年始閉庁日は使用不可,外部の使用も認める,35.57125956,139.5764544,,,
501,富士見台小学校,中央昇降口出入口校庭側,216-0006,宮前区宮前平2-18-3,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58821039,139.5793346,,,
502,菅生小学校,職員玄関外,216-0015,宮前区菅生1-5-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.59803856,139.5568163,,,
503,稗原小学校,1階体育館前,216-0012,宮前区水沢3-7-1,365日24時間使用可ではない,8時00分,21時00分,月火水木金,年末年始12/28〜1/3は使用不可。,外部の使用も認める,35.59542386,139.5426447,,,
504,土橋小学校,１階開放棟玄関前,216-0005,宮前区土橋3-1-11,365日24時間使用可ではない,8時00分,21時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58283142,139.5755892,,,
505,菅生小学校,体育館出入口外,216-0015,宮前区菅生1-5-1,365日24時間使用可ではない,8時00分,21時00分,日月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.59803856,139.5568163,,,
506,鷺沼小学校,職員玄関,216-0004,宮前区鷺沼2-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.57681842,139.5686594,,,
507,登戸小学校,保健室外壁校庭側,214-0014,多摩区登戸1329,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.62259533,139.558896,,,
508,宮崎小学校,体育館,216-0035,宮前区馬絹1-30-9,365日24時間使用可ではない,8時00分,17時00分,月火水木金,この時間以外でも、施設開放時には登録団体責任者による対応,外部の使用も認める,35.57953463,139.5879958,,,
509,宮崎小学校,B棟２階渡り廊下,216-0035,宮前区馬絹1-30-9,365日24時間使用可ではない,8時00分,17時00分,月火水木金,学校の平常勤務日以外は使用不可。,施設利用者・職員のみ,35.57953463,139.5879958,,,
510,苅宿小学校,東校舎昇降口横,211-0022,中原区苅宿25-1,365日24時間使用可ではない,8時30分,21時,月火水木金,施設開放を実施していない場合の利用時間は１６時４５分まで。,外部の使用も認める,35.56245936,139.6633395,,,
511,住吉小学校,体育館外校舎側入り口横,211-0033,中原区木月祗園町17-1,365日24時間使用可ではない,8時15分,16時45分,月火水木金,時間外であっても、施設開放団体の使用は可能とする。,外部の使用も認める,35.56826236,139.6535496,,,
512,下小田中小学校,体育館出入口,211-0041,中原区下小田中3-35-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,施設開放登録団体が利用する際は責任者による対応,外部の使用も認める,35.57163789,139.6403602,,,
513,東高津小学校,1階ピロティ,213-0005,高津区北見方2-5-1,365日24時間使用可,-,-,-,門扉施錠時に緊急であれば門を超えて入ることが可能（防犯カメラ有）,外部の使用も認める,35.60160667,139.6279501,,,
514,中野島小学校,校庭アリーナ階段下,214-0012,多摩区中野島3-12-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,施設開放をしている時間帯・曜日も使用可,外部の使用も認める,35.62919436,139.5517491,,,
515,はるひ野小学校,地域交流センター前,215-0036,麻生区はるひ野4-8-1,365日24時間使用可ではない,8時00分,21時00分,月火水木金,受付の施設管理員対応,外部の使用も認める,35.61776033,139.4610845,,,
516,小杉小学校,アリーナ棟外壁（階段下）,211-0063,中原区小杉町2-295-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を利用していない場合の利用時間は17時まで,外部の使用も認める,35.58017072,139.6569373,,,
517,向丘小学校,グラウンド体育倉庫内,216-0022,宮前区平1-6-1,365日24時間使用可ではない,8時20分,16時50分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.60022767,139.5763546,,,
518,土橋小学校,3階職員玄関前,216-0005,宮前区土橋3-1-11,365日24時間使用可ではない,8時00分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58283142,139.5755892,,,
519,百合丘小学校,体育館,215-0011,麻生区百合丘2-1-2,365日24時間使用可ではない,8時30分,２１時,月火水木金,夜間は施設開放時に限る。施設開放時には土日も使用可,外部の使用も認める,35.60773964,139.5145027,,,
520,平間中学校,生徒昇降口外,211-0013,中原区上平間1368,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.55847747,139.6782245,,,
521,宮前平中学校,職員玄関,216-0006,宮前区宮前平2-7,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58946403,139.5833176,,,
522,野川中学校,2階職員玄関前,216-0044,宮前区西野川2-2-1,365日24時間使用可ではない,8時15分,21時00分,月火水木金,正門が開錠していれば使用可能,外部の使用も認める,35.57380567,139.606113,,,
523,東橘中学校,2階職員室前廊下,213-0023,高津区子母口730,365日24時間使用可ではない,6時00分,21時00分,月火水木金,施設管理員（受付）の方が対応可能　　,外部の使用も認める,35.56969725,139.6325861,,,
524,臨港中学校,職員室グランド側出入口,210-0851,川崎区浜町2-11-22,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.51437606,139.7158247,,,
525,有馬中学校,体育館,216-0033,宮前区有馬7-7-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用可能時間は8：00〜17：00,外部の使用も認める,35.57093322,139.5773526,,,
526,川崎中学校,生徒昇降口,210-0025,川崎区下並木50,365日24時間使用可ではない,8時10分,16時40分,月火水木金,正門が開錠していれば使用可能,外部の使用も認める,35.52283519,139.6888612,,,
527,西生田中学校,1年昇降口前,215-0003,麻生区高石3-25-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,施設開放時は可能,外部の使用も認める,35.61585344,139.5192681,,,
528,長沢中学校,職員玄関横,215-0012,麻生区東百合丘4-12-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.59796811,139.5241818,,,
529,王禅寺中央中学校,職員玄関,215-0018,麻生区王禅寺東4-14-2,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",閉庁日や部活動停止期間などの例外あり,外部の使用も認める,35.58635914,139.5139335,,,
530,金程中学校,体育館前,215-0006,麻生区金程3-16-1,365日24時間使用可ではない,8時15分,21時00分,月火水木金,施設開放を行っていない場合の利用時間は16時45分まで,外部の使用も認める,35.61373122,139.4992854,,,
531,麻生中学校,１階体育館側出入り口,215-0021,麻生区上麻生4-39-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.59633817,139.5039463,,,
532,柿生中学校,職員玄関横,215-0021,麻生区上麻生6-40-1,365日24時間使用可ではない,8時30分,16時45分,月火水木金,8:15〜16:45まで可。年末年始12/28日〜1/4日は使用不可、閉庁日は使用不可,外部の使用も認める,35.58648164,139.4999864,,,
533,京町中学校,保健室外扉横,210-0848,川崎区京町3-19-11,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は１７時まで,外部の使用も認める,35.509622,139.6960373,,,
534,大師中学校,職員室校庭側,210-0811,川崎区大師河原2-1-1,365日24時間使用可,-,-,-,校舎外部に設置,外部の使用も認める,35.53532883,139.7386509,,,
535,南大師中学校,職員玄関前,210-0828,川崎区四谷上町24-1,365日24時間使用可,-,-,-,校舎外部に設置,外部の使用も認める,35.5283505,139.7365636,,,
536,川中島中学校,1階職員室外壁,210-0804,川崎区藤崎2-19-1,365日24時間使用可ではない,7時00分,20時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.52705839,139.7218366,,,
537,桜本中学校,体育館入口,210-0832,川崎区池上新町1-2-4,365日24時間使用可,-,-,-,校舎外部に設置,外部の使用も認める,35.52319167,139.7270503,,,
538,田島中学校,1階体育館渡廊下,210-0846,川崎区小田2-21-7,365日24時間使用可ではない,8時15分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は１７時４５分まで,外部の使用も認める,35.51283886,139.6984736,,,
539,渡田中学校,1階職員玄関,210-0841,川崎区渡田向町11-1,365日24時間使用可ではない,8時15分,16時45分,月火水木金,年末年始、休日、閉庁日使用不可,外部の使用も認める,35.52049942,139.7028713,,,
540,富士見中学校,1階保健室外,210-0011,川崎区富士見2-1-2,365日24時間使用可ではない,8時15分,16時45分,月火水木金,上記時間外は富士見球場横の門から出入りすること,外部の使用も認める,35.52801828,139.7084227,,,
541,南加瀬中学校,1階A棟B棟間通路,212-0055,幸区南加瀬3-10-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,年末年始、閉庁日使用不可,外部の使用も認める,35.54426272,139.6628065,,,
542,南河原中学校,職員玄関,212-0012,幸区中幸町4-31,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.53325733,139.6926212,,,
543,御幸中学校,C棟入口,212-0005,幸区戸手4-2-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.54439594,139.6942094,,,
544,塚越中学校,グラウンド体育館前,212-0024,幸区塚越1-60,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.54764231,139.6787064,,,
545,日吉中学校,1階職員玄関,212-0057,幸区北加瀬2-3-1,365日24時間使用可ではない,8時00分,21時00分,月火水木金土,使用可能な曜日でもAEDを利用できない場合があります。,外部の使用も認める,35.55380706,139.6614951,,,
546,橘中学校,職員玄関,213-0022,高津区千年1300,365日24時間使用可,-,-,-,校舎外部に設置,外部の使用も認める,35.58389333,139.6200614,,,
547,高津中学校,１階昇降口横,213-0011,高津区久本3-11-2,365日24時間使用可ではない,8時15分,21時00分,"月火水木金
土日",学校閉庁日とSELFによる施設開放の休業日が重なる日は利用不可となります。,外部の使用も認める,35.59567217,139.6184553,,,
548,東高津中学校,1階ピロティ,213-0013,高津区末長4-1-1,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.59175031,139.6212696,,,
549,西高津中学校,2階職員玄関前,213-0032,高津区久地1-10-1,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.60724447,139.6100481,,,
550,菅中学校,職員玄関前,214-007,多摩区菅城下28-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は16時45分まで,外部の使用も認める,35.63672122,139.5227278,,,
551,南生田中学校,昇降口外,214-0036,多摩区南生田3-4-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を利用していない場合の利用時間は１７時まで。学校閉庁時は使用不可。,外部の使用も認める,35.60551181,139.53343,,,
552,南菅中学校,校舎、体育館の渡り廊下,214-0004,多摩区菅馬場4-1-1,365日24時間使用可ではない,8時15分,21時00分,月火水木金,施設開放を実施していない場合は16時45分まで。学校閉庁日・年末年始12月29日〜1月3日は利用不可,外部の使用も認める,35.62261756,139.5302371,,,
553,枡形中学校,職員玄関前,214-0032,多摩区枡形1-22-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.61866697,139.5481758,,,
554,生田中学校,３年昇降口外,214-0034,多摩区三田2-5420-2,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",年末年始12月２９日〜１月３日までは使用不可。その他の日は、校務員さんが勤務している。,外部の使用も認める,35.61234864,139.545906,,,
555,中野島中学校,1階武道場前廊下,214-0012,多摩区中野島1-16-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.62827467,139.5460429,,,
556,玉川中学校,玄関前,211-0012,中原区中丸子562,365日24時間使用可ではない,8時30分,17時00分,月火水木金,閉庁時は使用不可,外部の使用も認める,35.56633622,139.6680161,,,
557,住吉中学校,職員室前廊下,211-0021,中原区木月住吉町27-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.56553925,139.6614983,,,
558,井田中学校,1階体育館前,211-0036,中原区井田杉山町11-1,365日24時間使用可ではない,8時15分,21時00分,月火水木金,"補足：施設開放を実施していない場合にの利用時間は16：45まで
現在校舎増改築に伴って、AEDを職員室へ移動してあります。工事が終わるのが3月中旬予定、工事終了後グラウンドに面した場所へ移動。
年末年始や閉庁日は使用不可。",外部の使用も認める,35.56996469,139.6439798,,,
559,今井中学校,１階体育館入口,211-0065,中原区今井仲町7-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.5756,139.6505894,,,
560,中原中学校,2階職員玄関外,211-0062,中原区小杉陣屋町1-24-1,365日24時間使用可ではない,8時15分,17時00分,月火水木金,お盆・年末年始の閉庁日は使用不可、施設開放実施時のみ２０時まで使用可,外部の使用も認める,35.58593783,139.6596494,,,
561,宮内中学校,職員玄関前,211-0051,中原区宮内4-13-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58513311,139.6464692,,,
562,向丘中学校,2階職員玄関,216-0031,宮前区神木本町5-11-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,収納ボックスに鍵はないため、門の鍵が開いていれば使用可能,外部の使用も認める,35.59843142,139.5812514,,,
563,犬蔵中学校,職員玄関前,216-0011,宮前区犬蔵1-10-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,収納ボックスに鍵はないため、門の鍵が開いていれば使用可能,外部の使用も認める,35.58909439,139.5635175,,,
564,宮崎中学校,体育館,216-0033,宮前区宮崎107,365日24時間使用可ではない,7時30分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は、１８時００分まで。,外部の使用も認める,35.58890483,139.5980582,,,
565,有馬中学校,克己館下倉庫前,216-0033,宮前区有馬7-7-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.57093322,139.5773526,,,
566,菅生中学校,１階３年昇降口横,216-0015,宮前区菅生2-10-1,365日24時間使用可,-,-,-,門の中にあるので、使用する場合は門を乗り越えて入る必要がある,外部の使用も認める,35.59838097,139.5524451,,,
567,中野島中学校,昇降口,214-0012,多摩区中野島1-16-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,門の鍵があれば利用可能,外部の使用も認める,35.62827467,139.5460429,,,
568,西中原中学校,１年生昇降口,211-0041,中原区下小田中2-17-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.57900406,139.6435557,,,
569,富士見中学校,1階職員玄関,210-0011,川崎区富士見2-1-2,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.52801828,139.7084227,,,
570,白鳥中学校,2階職員玄関外,215-0024,麻生区白鳥1-5-1,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.60125325,139.4860769,,,
571,川崎高校附属中学校,2階校務センター前廊下,210-0806,川崎区中島3-3-1,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.52678778,139.7148373,,,
572,宮前平中学校,職員室,216-0006,宮前区宮前平2-7,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58946403,139.5833176,,,
573,平中学校,アリーナ玄関,216-0022,宮前区平3-15-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.60344578,139.5691766,,,
574,はるひ野中学校,小アリーナ前の担架ケースの中,215-0036,麻生区はるひ野4-8-1,365日24時間使用可ではない,8時00分,21時00分,月火水木金,受付の施設管理員対応,外部の使用も認める,35.61841,139.4610845,,,
575,西中原中学校,夜間学級,211-0041,中原区下小田中2-17-1,365日24時間使用可ではない,13時,21時半,月火水木金,閉庁日は使用不可,施設利用者・職員のみ,35.578962,139.643452,,,
576,橘中学校,昇降口前,213-0022,高津区千年１３００,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58389333,139.6200614,,,
577,幸高等学校（商業高校）,（全日制）１階職員玄関前,212-0023,幸区戸手本町1-150,365日24時間使用可ではない,6時00分,20時00分,月火水木金,年末年始12月29日から1月3日は使用不可,外部の使用も認める,35.54209,139.68637,,,
578,幸高等学校（商業高校）,（全日制）1階保健室前,212-0023,幸区戸手本町1-150,365日24時間使用可ではない,6時00分,20時00分,月火水木金,年末年始12月29日から1月3日は使用不可,施設利用者・職員のみ,35.54209,139.68637,,,
579,幸高等学校（商業高校）,（全日制）1階体育館入口,212-0023,幸区戸手本町1-150,365日24時間使用可ではない,6時00分,20時00分,月火水木金,年末年始12月29日から1月3日は使用不可,施設利用者・職員のみ,35.54209,139.68637,,,
580,川崎総合科学高校,（定時制）5階定時制職員室前,212-0002,幸区小向仲野町5-1,365日24時間使用可ではない,7時00分,23時00分,月火水木金,年末年始は上記の時間が変更になる可能性あり,外部の使用も認める,35.55279481,139.6961576,,,
581,川崎総合科学高校,職員玄関入口,212-0002,幸区小向仲野町5-1,365日24時間使用可ではない,7時00分,23時00分,月火水木金,年末年始は上記の時間が変更になる可能性あり,外部の使用も認める,35.55279481,139.6961576,,,
582,川崎総合科学高校,（全日制）6階全日制職員室入口,212-0002,幸区小向仲野町5-1,365日24時間使用可ではない,7時00分,23時00分,月火水木金,年末年始は上記の時間が変更になる可能性あり,外部の使用も認める,35.55279481,139.6961576,,,
583,橘高校,（全日制）第一アリーナ入口,211-0012,中原区中丸子562,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.56748411,139.6680936,,,
584,橘高校,〈全日制〉事務室前,211-0012,中原区中丸子562,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.56748411,139.6680936,,,
585,橘高校,3階か5階,211-0012,中原区中丸子562,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.56748411,139.6680936,,,
586,高津高校,保健室,213-0011,高津区久本3-11-1,365日24時間使用可ではない,6時30分,22時00分,"月火水木金
土日","年末年始12月29日〜1月3日は使用不可
土日祭日に関しては閉庁日は警備に声をかけてください。また、土日祝日の利用終了時刻は20時までとなります。",外部の使用も認める,35.59604783,139.61667,,,
587,高津高校,2階職員玄関前,213-0011,高津区久本3-11-1,365日24時間使用可ではない,6時30分,22時00分,"月火水木金
土日","年末年始12月29日〜1月3日は使用不可
土日祭日に関しては閉庁日は警備に声をかけてください。また、土日祝日の利用終了時刻は20時までとなります。",外部の使用も認める,35.59604783,139.61667,,,
588,高津高校,体育教官室,213-0011,高津区久本3-11-1,365日24時間使用可ではない,6時30分,22時00分,"月火水木金
土日","年末年始12月29日〜1月3日は使用不可
土日祭日に関しては閉庁日は警備に声をかけてください。また、土日祝日の利用終了時刻は20時までとなります。",外部の使用も認める,35.59604783,139.61667,,,
589,聾学校,2階職員玄関,211-0053,中原区上小田中3-10-5,365日24時間使用可ではない,8時30分,17時00分,月火水木金,施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.58522442,139.6374698,,,
590,中央支援学校,1階ピロティ,213-0011,高津区久本3-7-1,365日24時間使用可,-,-,-,敷地に入れればいつでも可,外部の使用も認める,35.59788961,139.618376,,,
591,田島支援学校,1階職員室外壁,210-0853,川崎区田島町20-5,365日24時間使用可ではない,8時30分,21時,月火水木金,施設開放を実施していない場合の利用時間は17時まで,外部の使用も認める,35.51533075,139.7120059,,,
592,田島支援学校桜校,職員玄関前,210-0832,川崎区池上新町1-1-3,365日24時間使用可ではない,8時30分,21時,月火水木金,施設開放をしていない場合の平日17時まで可。休日は施設開放時間のみ可。,外部の使用も認める,35.52365706,139.7258524,,,
593,京町小学校,体育館,210-0848,川崎区京町1-1-4,365日24時間使用可ではない,8時15分,16時45分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.51943131,139.6923249,,,
594,日吉小学校,体育館,212-0057,幸区北加瀬1-37-1,365日24時間使用可ではない,8時30分,21時00分,"月火水木金
土日",平日１７時以降及び土日祝については、施設開放団体の利用がない場合は使用不可。,外部の使用も認める,35.54780194,139.6692763,,,
595,柿生中学校,"体育館横
ホール",215-0021,麻生区上麻生6-40-1,365日24時間使用可ではない,8時30分,16時45分,月火水木金,8:15〜16:45まで可。年末年始12/28日〜1/4日は使用不可、閉庁日は使用不可,外部の使用も認める,35.58648164,139.4999864,,,
596,百合丘小学校,1階職員玄関前,215-0011,麻生区百合丘2-1-2,365日24時間使用可ではない,8時30分,17時00分,月火水木金,門は電子錠で２４時間管理,外部の使用も認める,35.60773964,139.5145027,,,
597,川崎小学校,１階職員室廊下前,210-0024,川崎区日進町20-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,年末年始12/28〜1/4は使用不可。施設開放を実施していない場合の利用時間は１７時まで,外部の使用も認める,35.52476072,139.6952579,,,
598,南野川小学校,職員玄関,216-0042,宮前区南野川2-12-1,365日24時間使用可ではない,8時20分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は16時50分まで,外部の使用も認める,35.56688922,139.6039395,,,
599,藤崎小学校,体育館・校舎間通路,210-0804,川崎区藤崎3-2-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金土日,平日でもAEDを利用できない場合があります。土日は施設利用者のみ可,外部の使用も認める,35.52554817,139.7252451,,,
600,渡田小学校,職員玄関隣り水飲み場,210-0853,川崎区田島町14-1,365日24時間使用可ではない,8時00分,21時00分,"月火水木金
土日",学校閉庁日は使用不可,外部の使用も認める,35.51622969,139.7097352,,,
601,久末小学校,南昇降口,213-0026,高津区久末647,365日24時間使用可ではない,8時30分,21時00分,月火水木金土日,平日は施設開放をしている場合21時、していない場合は17:00まで。土日祝日は施設開放している場合は9時〜21時まで、していない場合は利用不可,外部の使用も認める,35.56797006,139.6191288,,,
602,犬蔵小学校,職員玄関前,216-0011,宮前区犬蔵1-3-1,365日24時間使用可ではない,8時30分,21時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.59130847,139.5656288,,,
603,小倉小学校,校庭,212-0054,幸区小倉2-20-1,365日24時間使用可ではない,8時25分,21時00分,月火水木金,施設開放をしていない場合の利用時間は16:55まで,外部の使用も認める,35.54136389,139.6653723,,,
604,東柿生小学校,体育館,215-0018,麻生区王禅寺東6-3-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.57909411,139.5106466,,,
605,渡田中学校,西昇降口校庭側入り口,210-0841,川崎区渡田向町11-1,365日24時間使用可ではない,8時15分,21時00分,月火水木金,施設開放を実施していない場合の利用時間は16時45分まで,外部の使用も認める,35.52049942,139.7028713,,,
